Time,T_ref_C,T_meas_C,PWM_percent,error_C
20.9 sec,50,31.6647692286885,100,18.4490268788268
21 sec,50,31.7781101517738,100,18.3352307713115
21.1 sec,50,31.8909977111667,100,18.2218898482262
21.2 sec,50,32.003433720322,100,18.1090022888333
21.3 sec,50,32.1154199854407,100,17.996566279678
21.4 sec,50,32.226958305499,100,17.8845800145593
21.5 sec,50,32.338050472277,100,17.773041694501
21.6 sec,50,32.4486982703879,100,17.661949527723
21.7 sec,50,32.5589034773063,100,17.5513017296121
21.8 sec,50,32.6686678633971,100,17.4410965226937
21.9 sec,50,32.7779931919435,100,17.3313321366029
22 sec,50,32.8868812191757,100,17.2220068080565
22.1 sec,50,32.995333694299,100,17.1131187808243
22.2 sec,50,33.1033523595218,100,17.004666305701
22.3 sec,50,33.2109389500838,100,16.8966476404782
22.4 sec,50,33.3180951942834,100,16.7890610499162
22.5 sec,50,33.4248228135063,100,16.6819048057166
22.6 sec,50,33.5311235222523,100,16.5751771864937
22.7 sec,50,33.6369990281633,100,16.4688764777477
22.8 sec,50,33.7424510320506,100,16.3630009718367
22.9 sec,50,33.8474812279224,100,16.2575489679494
23 sec,50,33.9520913030107,100,16.1525187720776
23.1 sec,50,34.0562829377987,100,16.0479086969893
23.2 sec,50,34.1600578060475,100,15.9437170622013
23.3 sec,50,34.2634175748233,100,15.8399421939525
23.4 sec,50,34.366363904524,100,15.7365824251767
23.5 sec,50,34.4688984489059,100,15.633636095476
23.6 sec,50,34.5710228551103,100,15.5311015510941
23.7 sec,50,34.6727387636898,100,15.4289771448897
23.8 sec,50,34.7740478086351,100,15.3272612363102
23.9 sec,50,34.8749516174005,100,15.2259521913649
24 sec,50,34.9754518109309,100,15.1250483825995
24.1 sec,50,35.0755500036872,100,15.0245481890691
24.2 sec,50,35.1752478036724,100,14.9244499963128
24.3 sec,50,35.2745468124578,100,14.8247521963276
24.4 sec,50,35.3734486252079,100,14.7254531875422
24.5 sec,50,35.4719548307071,100,14.6265513747921
24.6 sec,50,35.5700670113843,100,14.5280451692929
24.7 sec,50,35.6677867433387,100,14.4299329886157
24.8 sec,50,35.7651155963654,100,14.3322132566613
24.9 sec,50,35.8620551339799,100,14.2348844036346
25 sec,50,35.958606913444,100,14.1379448660201
